B1,B2,B3,B4,BonusBall
6,10,21,31,21
6,9,20,27,29
6,17,28,33,16
6,16,17,20,23
6,7,8,35,3
6,12,20,28,34
6,11,33,35,9
6,9,13,32,21
6,10,16,35,23
6,18,19,26,11
6,11,21,31,6
6,7,14,31,2
6,16,24,29,7
6,10,18,30,28
6,7,13,27,23
6,12,15,23,15
6,9,15,24,26
6,12,26,35,2
6,9,10,32,9
6,12,21,27,32
6,7,33,35,17
6,14,22,24,22
6,9,21,32,20
6,10,15,31,9
6,7,13,14,2
6,8,17,23,29
6,13,25,35,34
6,17,27,33,35
6,24,25,33,9
6,20,24,31,1
6,10,25,29,10
6,13,21,26,19
6,17,23,33,20
6,7,17,21,19
6,25,26,33,4
6,19,28,34,29
6,7,11,29,14
6,9,11,14,12
6,12,18,30,19
6,17,33,34,21
6,10,25,35,1
6,14,34,35,9
6,13,25,27,34
6,20,28,31,23
6,9,11,20,33
6,10,24,26,17
6,10,17,24,21
6,22,33,34,18
6,17,25,29,18
6,12,20,28,26
6,11,21,28,26
6,19,32,35,13
6,21,25,27,18
6,9,28,30,25
6,19,25,33,25
6,9,24,27,27
6,14,21,33,29
6,8,31,32,6
6,12,31,35,22
6,7,21,30,1
6,9,13,28,26
6,7,15,18,23
6,21,22,34,33
6,13,32,35,9
6,17,25,33,5
6,10,19,34,25
6,15,17,21,10
6,9,24,28,25
6,7,22,31,34
6,12,23,26,35
6,16,28,31,32
6,13,15,17,11
6,11,12,20,18
6,12,15,18,10
6,29,30,31,17
6,9,32,34,17
6,14,16,22,13
6,8,17,35,11
6,8,18,25,4
6,19,24,25,7
6,19,30,33,29
6,13,15,27,25
6,15,26,33,25
6,15,20,31,6
6,15,23,25,33
6,8,29,30,28
6,8,15,27,28
6,15,19,29,20
6,15,25,26,12
6,10,29,34,29
6,9,12,19,25
6,18,20,34,28
6,26,27,30,16
6,15,23,34,4
6,28,30,32,23
6,15,25,29,17
6,10,11,33,20
6,13,19,22,10
6,7,22,34,8
6,8,11,29,9
6,11,18,25,7
6,9,12,28,9
6,24,25,34,9
6,27,28,32,34
6,13,21,22,11
6,12,16,17,1
6,11,28,32,35
6,12,14,21,3
6,15,27,33,20
6,13,27,30,18
6,16,25,31,9
6,7,22,24,19
6,7,12,19,31
6,22,27,32,14
6,12,29,34,12
6,16,19,33,28
6,14,18,27,28
6,24,29,33,15
6,15,19,25,3
6,16,20,34,17
6,10,19,21,16
6,16,17,32,5
6,7,19,33,30
6,18,20,24,12
6,13,25,31,5
6,8,22,32,20
6,10,22,28,20
6,18,30,34,23
6,14,19,26,10
6,12,17,20,26
6,14,17,24,21
6,8,16,25,13
6,14,20,28,14
6,8,14,33,10
6,8,9,33,4
6,11,25,32,4
6,30,31,34,21
6,16,33,35,11
6,11,31,33,13
6,27,28,29,10
6,8,29,31,32
6,23,27,32,20
6,23,29,34,3
6,9,13,27,33
6,13,18,29,26
6,14,17,26,30
6,14,30,33,12
6,16,22,29,26
6,8,24,29,24
