B2,B3,B4,BonusBall
18,29,33,17
17,23,28,22
9,11,28,24
9,19,30,19
17,22,31,5
14,25,27,13
12,17,18,5
8,20,26,14
8,17,27,20
6,21,26,33
19,24,32,26
24,29,35,9
18,33,35,15
14,21,30,12
5,19,20,32
4,12,19,23
14,17,18,3
4,28,30,1
4,25,33,25
7,12,34,10
22,26,30,29
12,33,35,17
9,13,32,7
7,12,24,19
4,22,26,29
5,9,26,20
23,31,35,4
10,31,34,22
10,11,25,35
17,20,26,11
10,17,24,17
9,31,35,31
25,34,35,17
4,11,20,23
4,7,30,2
10,14,35,31
4,5,32,23
8,17,24,24
9,22,27,28
27,32,33,26
6,31,32,26
14,27,34,28
12,27,32,9
13,26,34,11
14,20,23,29
22,24,35,14
17,21,23,21
4,14,29,28
4,25,28,30
8,14,19,18
7,29,30,16
14,18,25,35
22,24,32,24
8,22,25,3
4,14,27,4
15,26,29,2
5,22,32,14
5,17,20,32
23,25,29,28
4,10,25,23
19,23,30,27
10,18,26,32
6,15,17,26
12,19,22,29
5,6,7,7
15,16,33,2
14,18,20,10
24,26,31,3
6,8,26,22
6,20,34,16
31,32,35,6
11,32,33,32
9,27,30,32
9,11,12,5
13,24,25,26
16,21,34,6
7,14,18,28
4,21,24,10
6,29,33,33
18,28,29,35
27,33,35,29
17,25,34,18
6,10,35,12
5,6,8,26
15,27,33,32
12,14,24,2
12,27,33,28
7,19,34,14
6,17,33,33
10,11,30,26
6,16,30,20
6,20,33,16
28,33,34,31
13,30,32,12
4,12,27,20
14,19,30,3
15,18,20,26
5,12,17,16
24,30,32,35
8,15,35,21
16,26,35,27
5,6,32,6
19,31,34,8
5,10,35,22
27,31,33,2
9,13,28,14
4,9,16,33
11,23,24,10
13,29,33,17
6,14,27,30
4,6,30,10
6,8,30,21
5,13,21,10
12,17,29,3
6,11,19,27
7,16,33,17
15,25,30,1
15,19,27,14
4,20,24,15
12,30,32,35
15,23,27,24
7,8,17,10
8,15,20,25
12,14,29,5
10,15,35,27
22,25,34,23
20,21,22,32
5,11,20,35
17,31,34,23
4,7,21,17
11,19,27,16
5,15,20,26
9,19,23,30
14,27,34,34
6,15,20,7
10,15,18,2
22,28,35,3
16,23,30,9
4,23,26,2
17,28,32,28
6,12,19,12
4,11,13,15
7,12,22,35
12,14,26,16
7,17,25,2
4,13,27,13
9,16,28,7
20,22,30,12
8,19,29,2
18,26,35,19
21,25,34,30
4,5,28,11
7,8,32,28
8,16,31,21
4,23,34,15
20,28,34,21
5,8,24,7
5,6,20,34
25,30,35,35
21,22,24,28
17,19,20,4
5,17,23,20
6,31,34,10
4,17,27,18
24,28,35,31
8,10,12,13
12,22,25,7
11,16,34,8
22,29,33,5
4,13,21,6
4,15,17,21
20,23,27,30
16,17,35,17
8,20,35,2
10,17,25,15
12,24,29,23
8,25,26,22
13,32,35,16
7,11,24,22
14,20,25,6
7,8,10,8
6,18,19,21
13,17,35,19
15,22,32,15
20,24,35,14
13,21,30,24
15,17,34,22
12,16,19,13
18,26,32,6
11,21,25,4
4,6,33,8
12,24,26,17
16,18,20,16
5,22,27,26
22,28,30,10
14,26,30,22
22,30,33,3
8,11,30,29
5,18,31,3
5,8,10,30
14,18,24,24
8,27,29,29
24,26,28,14
19,27,29,13
8,20,26,5
9,22,34,29
15,22,30,29
11,19,30,17
6,28,30,24
8,9,28,18
4,30,32,27
9,21,22,22
9,10,11,30
14,28,29,8
13,20,25,6
4,12,32,18
13,19,34,24
4,19,34,7
13,21,34,15
13,28,35,2
11,15,26,33
