B1,B2,B3,B4,BonusBall
1,16,18,19,5
1,5,15,18,15
1,11,17,25,17
1,5,24,25,7
1,14,15,35,24
1,3,5,20,30
1,3,17,34,5
1,5,10,13,22
1,14,23,34,10
1,5,8,18,17
1,9,19,27,24
1,5,11,24,7
1,19,20,21,12
1,23,25,32,3
1,14,24,27,7
1,2,21,33,11
1,9,12,20,24
1,11,21,26,28
1,12,13,35,17
1,16,21,32,23
1,6,11,34,19
1,10,19,35,25
1,16,30,31,13
1,8,16,25,9
1,19,29,32,12
1,11,16,34,16
1,11,28,33,20
1,5,22,31,17
1,6,11,29,33
1,11,15,22,32
1,4,6,14,8
1,2,11,27,13
1,15,19,34,26
1,8,11,13,33
1,4,23,28,27
1,2,28,35,3
1,18,24,35,23
1,18,24,31,28
1,4,27,34,3
1,5,28,32,35
1,8,26,34,6
1,5,30,34,27
1,9,17,33,1
1,4,19,24,7
1,7,22,25,31
1,2,3,30,21
1,7,16,20,4
1,8,17,24,21
1,7,12,17,5
1,14,21,31,25
1,6,7,10,27
1,7,12,32,26
1,4,8,29,35
1,18,20,35,21
1,8,15,23,14
1,11,19,35,35
1,19,27,33,7
1,6,16,27,3
1,5,9,29,24
1,10,21,30,21
1,3,28,30,31
1,15,22,23,11
1,7,23,32,35
1,26,29,31,29
1,18,27,29,33
1,9,15,33,35
1,3,29,35,21
1,2,12,34,14
1,10,18,26,33
1,3,11,34,13
1,6,9,13,19
1,8,30,34,2
1,13,28,33,12
1,12,27,30,28
1,5,20,26,17
1,14,16,26,5
1,6,21,35,16
1,6,15,16,2
1,14,17,28,10
1,11,22,33,24
1,8,16,26,11
1,6,20,27,20
1,2,20,30,20
1,2,4,19,6
1,8,10,28,9
1,7,23,33,11
1,13,19,31,28
1,21,26,27,2
1,14,22,34,23
1,20,32,34,30
1,6,12,19,34
1,11,16,24,1
1,6,7,30,22
1,9,12,18,4
1,13,18,31,18
1,12,23,29,29
1,13,14,35,20
1,4,10,35,31
1,2,8,25,27
1,5,26,31,7
1,2,20,30,26
1,23,29,35,31
1,13,23,25,10
1,11,16,23,9
1,9,11,32,21
1,6,20,22,3
1,9,14,23,13
1,7,12,34,30
1,9,27,32,2
1,2,29,34,27
1,9,29,33,24
1,5,17,22,25
1,11,30,34,25
1,3,4,20,5
1,9,33,34,7
1,25,27,33,8
1,6,13,27,30
1,9,31,34,26
1,3,7,24,3
1,12,20,33,29
1,7,9,28,16
1,2,16,31,26
1,4,21,23,26
1,13,25,34,3
1,11,17,19,20
1,9,21,31,4
1,4,16,33,3
1,8,25,30,15
1,2,7,31,16
1,11,25,26,7
1,9,11,33,8
1,18,23,28,32
1,17,31,33,30
1,8,11,19,5
1,21,25,34,23
1,6,21,24,17
1,4,7,10,15
1,7,16,26,10
1,7,15,26,24
1,7,16,17,14
1,20,25,34,10
1,2,17,24,10
1,4,21,22,1
1,4,10,29,21
1,4,12,35,10
1,13,28,31,25
1,4,11,31,34
1,9,18,19,35
1,12,27,33,25
1,10,17,28,24
1,7,17,28,24
1,3,4,25,17
1,2,4,22,30
1,8,17,27,8
1,4,8,23,26
1,6,16,31,28
1,5,10,35,20
1,10,26,29,13
1,24,28,33,29
1,4,17,35,19
1,13,29,33,13
1,4,6,21,22
1,2,24,25,24
1,6,15,22,17
1,3,6,20,12
1,18,28,33,9
1,18,31,32,5
1,7,20,30,15
1,5,7,12,16
1,3,25,27,14
1,7,8,28,33
1,5,23,34,17
1,6,11,19,10
1,11,18,23,16
1,3,17,32,3
1,27,28,34,13
1,8,22,26,12
1,10,11,17,15
1,15,29,34,33
1,2,31,32,1
1,4,17,22,5
1,16,20,21,31
1,16,32,33,4
1,3,10,25,25
1,5,10,13,33
1,5,8,21,18
1,14,22,27,9
1,15,25,30,22
1,19,23,35,17
1,18,31,33,14
1,8,18,33,22
1,22,25,31,29
1,4,13,22,32
1,3,13,33,15
1,6,15,23,27
1,3,18,33,22
1,4,5,17,14
1,4,17,23,32
1,15,16,24,8
1,20,22,26,16
1,4,11,12,22
1,4,9,19,12
1,12,31,34,12
1,10,27,29,12
1,6,20,25,33
1,8,16,17,2
1,19,31,33,33
1,5,24,28,31
1,5,6,24,5
1,6,17,29,2
1,2,10,23,28
1,4,5,9,33
1,7,19,34,2
1,6,7,14,19
1,9,17,32,31
1,2,13,24,20
1,11,25,27,29
1,4,18,20,20
1,2,25,27,18
1,15,23,29,4
1,13,21,24,1
1,15,22,27,26
1,4,22,30,18
1,7,15,21,20
1,4,13,34,18
1,15,23,28,31
1,4,28,32,6
1,15,18,22,7
1,10,26,29,34
1,4,14,25,3
1,6,11,25,12
1,17,21,23,20
1,4,8,31,11
1,5,18,28,15
1,15,21,25,30
1,8,12,18,33
1,6,10,14,1
1,5,10,19,20
1,11,12,27,20
1,9,23,31,14
1,6,8,30,30
1,17,23,34,12
1,2,4,29,31
1,4,23,32,26
1,8,12,13,27
1,15,26,28,35
1,22,26,29,25
1,4,24,28,25
1,28,31,32,22
1,5,15,28,6
1,17,23,29,32
1,3,14,23,7
1,5,6,19,35
