B1,B2,B3,B4,BonusBall
5,14,26,28,24
5,14,22,29,11
5,29,31,35,18
5,20,26,35,2
5,14,18,31,8
5,10,21,28,15
5,10,24,30,29
5,7,26,30,35
5,23,30,33,13
5,8,29,30,29
5,7,9,10,34
5,7,9,14,25
5,21,24,25,29
5,6,14,19,4
5,11,19,34,20
5,13,21,24,28
5,22,24,29,34
5,17,31,32,20
5,6,24,28,31
5,6,18,26,3
5,14,22,34,17
5,11,17,20,10
5,16,22,27,26
5,10,15,24,17
5,11,22,23,22
5,17,22,24,19
5,10,18,33,22
5,16,17,27,15
5,11,15,27,33
5,7,19,33,6
5,10,16,27,8
5,15,20,32,28
5,28,29,34,8
5,8,12,20,7
5,19,22,26,12
5,6,27,31,3
5,8,17,34,23
5,6,24,33,34
5,27,31,34,3
5,7,23,29,13
5,10,18,31,15
5,8,21,32,23
5,11,27,33,28
5,14,17,24,7
5,9,15,22,30
5,26,27,33,22
5,12,29,34,3
5,23,32,34,15
5,15,20,31,12
5,27,28,35,27
5,13,18,20,27
5,12,28,31,4
5,7,22,29,21
5,7,28,33,9
5,8,31,32,7
5,9,17,20,17
5,10,14,33,30
5,9,17,34,5
5,18,30,33,15
5,7,31,32,31
5,20,22,23,1
5,9,25,33,5
5,12,17,35,25
5,11,29,30,35
5,16,23,29,26
5,13,29,31,21
5,16,29,30,21
5,8,14,33,24
5,7,18,25,17
5,8,11,15,5
5,8,24,28,17
5,20,23,28,1
5,12,19,35,10
5,23,25,30,9
5,8,10,15,32
5,6,12,30,23
5,10,22,23,14
5,23,29,30,6
5,15,26,35,35
5,15,25,30,31
5,16,23,25,27
5,9,15,34,20
5,8,28,33,14
5,9,17,24,25
5,15,27,28,5
5,10,14,34,2
5,16,22,26,2
5,6,12,16,6
5,6,14,17,3
5,7,9,34,20
5,25,26,28,19
5,20,21,28,34
5,17,24,29,6
5,9,15,24,1
5,12,13,33,1
5,6,20,32,35
5,6,8,34,11
5,6,11,21,33
5,8,14,22,8
5,9,12,28,7
5,6,23,25,20
5,17,18,27,4
5,15,18,24,10
5,6,24,28,21
5,18,19,23,13
5,6,12,35,30
5,15,19,22,8
5,8,12,18,4
5,11,15,21,27
5,19,22,31,35
5,16,26,35,12
5,9,30,33,24
5,8,16,23,25
5,9,10,24,9
5,7,12,35,19
5,13,14,15,2
5,18,23,30,30
5,20,22,34,1
5,19,33,34,5
5,16,32,34,5
5,25,26,33,19
5,10,26,30,6
5,19,33,35,29
5,13,30,31,4
5,8,18,34,18
5,15,23,31,23
5,12,14,28,20
5,18,19,24,18
5,23,33,35,31
5,21,28,33,11
5,8,30,31,2
5,7,10,18,19
5,20,26,27,29
5,15,26,30,30
5,8,33,34,20
5,11,14,28,27
5,19,20,35,12
5,12,26,33,22
5,19,23,28,2
5,6,12,19,5
5,11,16,31,11
5,6,25,29,19
5,22,25,28,34
5,7,30,35,4
5,8,10,11,12
5,13,16,30,11
5,7,25,33,4
5,9,19,22,27
5,17,21,32,10
5,11,15,35,29
5,6,8,16,14
5,13,16,24,15
5,17,20,32,28
5,13,31,33,34
5,12,23,25,13
5,12,34,35,18
