B1,B2,B3,B4,BonusBall
4,23,30,34,13
4,11,16,28,31
4,28,32,34,20
4,6,9,35,32
4,23,25,27,16
4,8,18,21,19
4,10,23,33,25
4,6,19,25,32
4,9,15,27,33
4,6,14,26,28
4,5,15,29,4
4,16,23,34,5
4,25,30,33,9
4,16,22,33,10
4,16,26,30,33
4,9,20,24,20
4,10,17,32,24
4,15,20,33,11
4,12,27,33,24
4,6,13,29,13
4,13,21,22,31
4,7,10,22,17
4,18,29,32,16
4,20,26,31,10
4,13,30,32,29
4,12,14,26,20
4,8,10,26,34
4,5,15,22,13
4,11,19,32,35
4,13,15,31,34
4,13,18,24,22
4,27,33,35,23
4,17,26,27,9
4,6,27,31,29
4,6,18,35,2
4,10,26,29,19
4,8,16,24,13
4,6,8,28,18
4,8,13,24,23
4,9,20,28,7
4,17,18,27,21
4,18,27,35,19
4,6,11,22,21
4,15,16,19,20
4,29,32,34,30
4,30,32,35,8
4,14,31,32,11
4,6,25,32,32
4,10,31,35,24
4,5,27,31,6
4,14,22,27,8
4,10,18,20,13
4,6,7,22,26
4,8,24,31,32
4,13,21,22,11
4,16,25,28,25
4,11,12,19,29
4,11,30,35,35
4,13,16,30,12
4,19,32,34,21
4,5,27,35,23
4,21,29,30,31
4,12,20,22,22
4,7,25,32,22
4,7,20,35,4
4,18,21,25,29
4,10,11,21,8
4,20,25,29,9
4,7,12,33,6
4,5,22,27,10
4,7,16,30,10
4,7,15,30,5
4,21,27,35,10
4,13,17,19,16
4,16,28,30,15
4,25,26,27,29
4,6,28,32,25
4,9,15,21,30
4,13,22,35,30
4,12,22,34,14
4,5,15,30,31
4,20,28,32,14
4,6,30,34,16
4,8,20,31,19
4,6,22,33,12
4,18,25,31,2
4,28,29,34,22
4,5,22,23,21
4,7,20,31,3
4,6,9,34,32
4,12,17,18,22
4,16,17,33,12
4,13,25,33,19
4,9,10,27,12
4,9,10,16,9
4,21,27,29,27
4,20,27,29,18
4,12,13,35,31
4,25,31,32,25
4,11,16,35,27
4,13,19,33,35
4,6,9,35,16
4,19,25,31,16
4,6,11,19,30
4,8,9,25,22
4,8,16,27,9
4,6,18,33,4
4,12,24,34,20
4,17,19,33,34
4,6,21,29,21
4,9,14,21,5
4,6,15,22,7
4,17,31,35,2
4,20,25,33,32
4,13,14,21,3
4,5,30,32,21
4,8,9,23,3
4,19,26,32,19
4,15,18,20,34
4,7,21,24,2
4,19,22,28,33
4,14,23,33,19
4,8,21,34,30
4,8,10,15,13
4,8,10,29,4
4,28,30,33,3
4,18,30,32,8
4,14,22,30,9
4,7,10,31,12
4,14,29,30,21
4,10,21,30,31
4,17,26,34,33
4,16,28,29,12
4,15,21,26,21
4,14,18,34,27
4,19,25,28,6
4,14,20,22,25
4,19,32,33,14
4,7,25,32,23
4,7,8,11,11
4,20,30,32,8
4,5,16,17,30
4,5,31,32,32
4,9,18,19,31
4,7,19,32,26
4,16,21,22,11
4,11,13,24,22
4,17,31,32,13
4,5,33,35,21
4,13,14,17,28
4,9,26,32,30
4,7,15,23,27
4,6,11,31,27
4,10,27,29,28
4,20,25,28,30
4,16,23,35,25
4,13,21,32,20
4,15,18,29,33
4,7,14,19,34
4,9,23,26,6
4,17,30,34,14
4,7,11,22,18
4,5,24,25,9
4,14,19,27,6
4,6,10,21,26
4,17,22,32,17
4,10,28,30,28
4,11,26,30,20
4,13,24,26,9
4,28,30,31,23
4,16,18,32,28
4,16,29,33,17
4,6,16,17,9
4,20,26,32,6
4,13,32,35,5
4,6,31,33,30
4,23,26,28,26
4,5,10,34,15
4,19,24,26,33
4,10,14,26,24
4,10,19,24,4
4,5,19,28,32
4,13,18,35,25
4,9,18,23,29
4,14,17,18,15
4,8,11,27,9
4,14,19,23,24
4,12,25,35,31
4,9,19,21,1
4,21,24,28,5
4,6,18,19,15
4,21,29,32,32
4,13,21,34,4
4,6,12,32,5
4,20,24,29,27
4,11,15,20,5
4,8,18,32,10
4,12,27,28,20
4,9,13,33,19
4,21,26,34,26
4,8,25,31,24
4,19,20,30,27
4,8,13,30,27
4,17,27,32,2
4,9,22,25,1
4,7,10,14,4
4,5,14,35,5
4,13,16,32,29
4,17,22,35,2
4,13,22,32,15
