B1,B2,B3,B4,BonusBall
7,20,24,25,35
7,9,10,32,34
7,16,33,35,10
7,13,28,32,6
7,11,12,30,13
7,19,22,23,17
7,10,23,28,12
7,22,28,34,30
7,12,15,34,11
7,8,10,27,30
7,8,16,35,26
7,10,16,19,32
7,18,21,29,17
7,14,29,30,23
7,10,17,28,10
7,11,20,33,4
7,28,34,35,1
7,8,21,24,9
7,15,26,34,20
7,9,20,25,6
7,12,23,27,33
7,15,19,25,29
7,9,22,28,10
7,11,14,15,31
7,10,25,27,8
7,19,27,32,19
7,10,21,25,34
7,11,15,17,25
7,17,22,23,23
7,17,19,21,18
7,10,21,34,18
7,23,27,31,24
7,16,26,32,12
7,11,23,24,27
7,13,30,33,31
7,9,30,31,10
7,10,19,21,27
7,8,10,26,9
7,10,26,30,19
7,14,24,35,34
7,13,25,32,27
7,13,19,27,14
7,12,14,32,26
7,15,24,29,10
7,15,17,18,12
7,13,18,32,5
7,9,27,30,13
7,12,15,33,28
7,9,10,23,7
7,24,34,35,6
7,11,16,29,8
7,12,18,29,3
7,11,19,26,11
7,18,19,20,15
7,9,23,30,9
7,18,24,25,35
7,16,33,35,27
7,17,27,28,4
7,15,27,34,21
7,17,24,28,35
7,8,14,22,29
7,8,31,35,20
7,13,15,16,22
7,28,29,30,5
7,8,9,18,6
7,13,15,17,11
7,12,19,23,1
7,21,22,34,31
7,10,16,22,32
7,23,26,33,12
7,18,24,26,14
7,17,31,34,11
7,10,13,19,33
7,12,18,21,10
7,10,17,31,8
7,17,19,32,31
7,22,25,34,17
7,9,12,32,23
7,12,16,31,15
7,18,26,34,10
7,10,12,21,11
7,14,19,32,24
7,10,21,32,30
7,23,30,35,6
7,8,13,25,20
7,21,23,25,18
7,14,17,22,25
7,9,21,32,3
7,14,25,35,32
7,13,15,21,32
7,25,29,30,1
7,25,31,35,22
7,22,28,35,10
7,25,32,33,20
7,11,12,17,12
7,16,25,26,14
7,9,14,34,30
7,16,22,30,35
7,16,17,28,18
7,15,32,34,8
7,9,16,27,15
7,8,24,32,5
7,22,32,35,32
7,8,11,25,16
7,12,18,26,13
7,24,28,33,16
7,13,15,34,6
7,19,28,31,30
7,11,12,27,18
7,19,20,31,5
7,8,9,15,23
7,8,10,18,15
7,21,22,29,13
7,16,24,35,1
7,13,26,29,6
7,30,31,35,28
7,17,26,31,28
7,15,16,27,17
7,16,17,23,3
7,19,22,30,8
7,9,12,17,17
7,20,28,29,35
7,11,15,18,30
7,10,18,33,31
7,9,14,21,1
7,12,15,19,4
7,25,30,35,12
7,22,26,29,7
7,13,20,28,25
7,13,16,21,11
7,23,26,33,3
7,10,24,26,25
7,24,26,34,22
7,8,23,31,33
7,8,25,33,29
7,9,19,21,33
