B1,B2,B3,B4,BonusBall
9,10,13,22,1
9,15,30,33,28
9,26,28,32,3
9,18,19,25,10
9,12,28,33,15
9,10,15,35,4
9,16,18,24,15
9,11,13,14,1
9,19,28,30,30
9,11,27,34,25
9,16,27,34,31
9,10,17,26,34
9,20,28,31,1
9,19,21,33,32
9,11,16,19,32
9,18,26,35,14
9,10,18,27,10
9,15,16,30,16
9,16,26,29,21
9,18,27,29,34
9,18,27,35,9
9,12,23,24,30
9,17,30,33,27
9,19,21,32,28
9,10,16,34,32
9,21,27,34,2
9,14,18,33,10
9,18,24,28,1
9,13,16,20,29
9,18,19,21,7
9,11,33,34,31
9,16,24,28,21
9,12,34,35,13
9,17,18,29,24
9,20,29,34,24
9,12,13,23,30
9,19,25,29,8
9,18,19,33,7
9,10,20,30,4
9,11,26,30,28
9,20,31,34,19
9,12,19,33,17
9,15,18,23,22
9,12,15,25,25
9,16,24,32,19
9,15,18,23,30
9,27,29,35,4
9,17,20,23,18
9,13,14,22,1
9,25,30,32,27
9,16,18,31,11
9,13,18,24,18
9,20,27,31,11
9,15,20,30,20
9,13,15,21,6
9,10,20,28,18
9,15,32,34,15
9,19,26,33,29
9,19,30,34,21
9,14,26,34,10
9,15,33,35,9
9,16,20,26,9
9,10,19,27,24
9,14,15,24,20
9,24,26,33,22
9,18,26,30,19
9,14,18,25,4
9,10,26,27,4
9,16,24,26,31
9,19,21,32,6
9,19,22,31,24
9,19,20,31,21
9,10,14,16,2
9,10,22,31,27
9,26,29,33,5
9,16,19,29,23
9,14,18,30,1
9,11,25,27,26
9,11,12,31,2
9,22,23,28,22
9,20,23,32,7
9,26,29,33,3
9,14,17,27,3
9,15,30,34,2
9,13,29,32,27
9,29,34,35,28
9,17,19,23,1
9,23,25,29,34
9,16,23,33,34
9,10,16,35,15
9,16,25,27,20
9,30,32,34,14
9,20,26,30,13
9,14,22,34,33
